uen,registration_year,primary_ssic_code,postal_code
201701242G,2017,81,415979
53369247D,2017,18,670624
201919744W,2019,64,048616
201917185Z,2019,64,048616
201918978M,2019,64,608526
53387700L,2018,53,761342
201729709M,2017,95,569541
201709780Z,2017,61,168976
201834335H,2018,49,530554
201712223G,2017,62,160079
201729781G,2017,95,569541
201906079C,2019,70,068914
201717923K,2017,72,159471
T18LL0066A,2018,85,101109
53379408X,2018,52,530240
201838242Z,2018,49,419741
53367665K,2017,49,760349
201817260K,2018,47,079027
201731423R,2017,46,822170
201717681C,2017,41,169874
53367952D,2017,46,768115
201933942D,2019,70,068892
53362669B,2017,49,550255
201734874W,2017,95,228729
201807880E,2018,56,159456
201826424N,2018,71,737854
53401010E,2019,49,760103
201828109M,2018,46,049712
53407012D,2019,96,058357
201712697W,2017,52,218107
53365736M,2017,69,760255
201721949C,2017,70,534972
201914347K,2019,66,288056
201831502W,2018,46,200002
201718402W,2017,82,529482
201810155D,2018,41,530435
201934157K,2019,30,068808
53391120J,2018,49,760435
201805201N,2018,49,440033
53385985M,2018,49,533470
201908215D,2019,52,079903
201823270R,2018,49,680503
201712976E,2017,64,048624
201821684W,2018,70,199589
201819070G,2018,70,238863
201806537W,2018,79,658841
53404504M,2019,96,751352
201723990Z,2017,66,207308
201708955H,2017,64,228095
201714792K,2017,64,048624
201841276E,2018,71,089605
201820216R,2018,64,208787
201810102G,2018,62,822163
201718721R,2017,43,189969
T19LL1579L,2019,85,239917
201833869G,2018,81,048545
201736695W,2017,52,049909
201736696H,2017,52,408533
201736697Z,2017,52,408533
201735252Z,2017,26,118259
T19LL0092D,2019,69,600308
201830833N,2018,47,187966
201824662Z,2018,46,627546
201729718N,2017,70,079903
201910336C,2019,56,680790
201900816K,2019,70,573960
201719521D,2017,64,408938
201734859G,2017,64,408938
201706064G,2017,46,051531
201811599M,2018,10,188307
201826175E,2018,43,530371
201840277Z,2018,85,109684
201824291H,2018,71,596743
201703667W,2017,88,208511
201709505D,2017,88,417657
201731167G,2017,46,439871
53389291X,2018,47,824128
201921627W,2019,71,139965
53370536C,2017,85,310258
201819010K,2018,56,228773
201715724Z,2017,73,118222
201901345C,2019,77,640625
201931230N,2019,96,199001
201708971K,2017,49,611338
201822299D,2018,70,069534
201709723R,2017,64,339509
201815253W,2018,86,068900
201938946H,2019,64,051531
53388649W,2018,59,550114
201716276H,2017,46,688195
201911106K,2019,70,049422
201825246R,2018,64,079120
201711282R,2017,64,079120
201825236D,2018,64,079120
201711281E,2017,64,079120
201800690N,2018,64,079120
201800691E,2018,64,079120
201715299K,2017,64,059818
201807216N,2018,62,068898
201805943H,2018,64,048623
201808810M,2018,70,369977
53401295K,2019,47,822677
201943752E,2019,82,160063
201828273K,2018,70,409051
201720784M,2017,59,049712
201734861M,2017,46,048619
201817660H,2018,30,079903
201705282D,2017,35,069533
201835988H,2018,46,479264
201918604R,2019,46,319075
53391931B,2019,49,650361
53399402X,2019,74,824618
201931001W,2019,46,409051
201943252M,2019,46,409958
201821627N,2018,46,608586
201726748D,2017,64,088830
201723579N,2017,46,486472
201829091C,2018,77,048619
201903564W,2019,47,228149
53368635X,2017,46,489947
T17LL1824B,2017,96,729938
201940824N,2019,47,760294
53396807X,2019,47,793470
201841109N,2018,64,098632
201833274W,2018,64,098632
201914697W,2019,62,049422
53374009J,2017,49,754115
201930095Z,2019,46,608526
201911444D,2019,56,541262
201805665M,2018,68,079903
201942001M,2019,70,648339
53392287M,2019,85,520278
53354839W,2017,69,768102
201935695H,2019,71,068898
201917495R,2019,66,318993
53373192E,2017,62,529776
201821399C,2018,64,079025
201802171Z,2018,64,079025
201802165K,2018,64,048693
201928875D,2019,72,408933
201921804H,2019,62,199001
201940425G,2019,66,048424
201813716Z,2018,74,650346
201803432Z,2018,09,642651
201920934E,2019,70,079903
201901206G,2019,46,218297
53402653B,2019,81,573969
201726114N,2017,71,188216
201904891D,2019,86,217562
201827165H,2018,70,369977
201725434G,2017,46,150165
201824302Z,2018,64,828792
T19LL1050E,2019,70,350113
201905284M,2019,70,169850
201813073C,2018,62,079903
201825958M,2018,42,200808
201937668R,2019,46,207652
53354992B,2017,47,209452
201926994Z,2019,46,409051
201807515G,2018,46,391056
201919297C,2019,47,120701
201934230D,2019,74,069120
201800666C,2018,46,068805
201902265H,2019,64,339564
201916007H,2019,46,069541
201704019E,2017,64,068906
53395846J,2019,49,510138
201908078D,2019,70,079903
